batch=8, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.11ms, tilelang_time=0.05ms, triton_time=0.17ms
batch=32, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.57ms, tilelang_time=0.19ms, triton_time=0.17ms
batch=1, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.06ms, tilelang_time=0.03ms, triton_time=0.19ms
batch=2, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.06ms, tilelang_time=0.04ms, triton_time=0.18ms
batch=4, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.14ms, tilelang_time=0.06ms, triton_time=0.20ms
batch=8, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.22ms, tilelang_time=0.08ms, triton_time=0.27ms
batch=16, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.38ms, tilelang_time=0.21ms, triton_time=0.29ms
batch=32, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=1.28ms, tilelang_time=0.39ms, triton_time=0.33ms
batch=1, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.04ms, tilelang_time=0.04ms, triton_time=0.19ms
batch=2, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.13ms, tilelang_time=0.06ms, triton_time=0.20ms
batch=4, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.19ms, tilelang_time=0.11ms, triton_time=0.28ms
batch=8, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.42ms, tilelang_time=0.15ms, triton_time=0.53ms
batch=16, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.50ms, tilelang_time=0.40ms, triton_time=0.55ms
batch=32, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=2.11ms, tilelang_time=0.60ms, triton_time=0.63ms
batch=1, heads=32, heads_kv=8, max_cache_seqlen=65536, dim=128, dim_v=128, block_size=32, dense_time=0.10ms, tilelang_time=0.07ms, triton_time=0.19ms
batch=2, heads=32, heads_kv=8, max_cache_seqlen=65536, dim=128, dim_v=128, block_size=32, dense_time=0.28ms, tilelang_time=0.11ms, triton_time=0.28ms
batch=4, heads=32, heads_kv=8, max_cache_seqlen=65536, dim=128, dim_v=128, block_size=32, dense_time=0.52ms, tilelang_time=0.21ms, triton_time=0.54ms
batch=8, heads=32, heads_kv=8, max_cache_seqlen=65536, dim=128, dim_v=128, block_size=32, dense_time=0.72ms, tilelang_time=0.27ms, triton_time=1.04ms
batch=16, heads=32, heads_kv=8, max_cache_seqlen=65536, dim=128, dim_v=128, block_size=32, dense_time=1.27ms, tilelang_time=0.81ms, triton_time=1.10ms
batch=32, heads=32, heads_kv=8, max_cache_seqlen=65536, dim=128, dim_v=128, block_size=32, dense_time=4.50ms, tilelang_time=1.36ms, triton_time=1.26ms
