batch=8, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.07ms, tilelang_time=0.04ms, triton_time=0.11ms
batch=8, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.13ms, tilelang_time=0.07ms, triton_time=0.20ms
batch=16, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.63ms, tilelang_time=0.31ms, triton_time=0.21ms
batch=32, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.96ms, tilelang_time=0.25ms, triton_time=0.24ms
batch=1, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.05ms, tilelang_time=0.04ms, triton_time=0.12ms
batch=2, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.13ms, tilelang_time=0.09ms, triton_time=0.12ms
batch=4, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.17ms, tilelang_time=0.07ms, triton_time=0.21ms
batch=8, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.25ms, tilelang_time=0.12ms, triton_time=0.39ms
batch=16, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.62ms, tilelang_time=0.29ms, triton_time=0.40ms
batch=32, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=1.73ms, tilelang_time=0.46ms, triton_time=0.45ms
batch=1, heads=32, heads_kv=8, max_cache_seqlen=65536, dim=128, dim_v=128, block_size=32, dense_time=0.09ms, tilelang_time=0.04ms, triton_time=0.27ms
batch=2, heads=32, heads_kv=8, max_cache_seqlen=65536, dim=128, dim_v=128, block_size=32, dense_time=0.15ms, tilelang_time=0.07ms, triton_time=0.20ms
batch=4, heads=32, heads_kv=8, max_cache_seqlen=65536, dim=128, dim_v=128, block_size=32, dense_time=0.32ms, tilelang_time=0.12ms, triton_time=0.40ms
batch=8, heads=32, heads_kv=8, max_cache_seqlen=65536, dim=128, dim_v=128, block_size=32, dense_time=0.49ms, tilelang_time=0.23ms, triton_time=0.77ms
batch=16, heads=32, heads_kv=8, max_cache_seqlen=65536, dim=128, dim_v=128, block_size=32, dense_time=1.09ms, tilelang_time=0.49ms, triton_time=0.79ms
batch=32, heads=32, heads_kv=8, max_cache_seqlen=65536, dim=128, dim_v=128, block_size=32, dense_time=8.98ms, tilelang_time=0.89ms, triton_time=0.89ms
batch=1, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.03ms, tilelang_time=0.03ms, triton_time=0.12ms
batch=2, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.03ms, tilelang_time=0.03ms, triton_time=0.12ms
batch=4, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.05ms, tilelang_time=0.02ms, triton_time=0.12ms
batch=8, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.07ms, tilelang_time=0.04ms, triton_time=0.11ms
batch=16, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.13ms, tilelang_time=0.07ms, triton_time=0.11ms
batch=32, heads=32, heads_kv=8, max_cache_seqlen=8192, dim=128, dim_v=128, block_size=32, dense_time=0.44ms, tilelang_time=0.13ms, triton_time=0.12ms
batch=1, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.03ms, tilelang_time=0.03ms, triton_time=0.12ms
batch=2, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.04ms, tilelang_time=0.03ms, triton_time=0.12ms
batch=4, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.07ms, tilelang_time=0.04ms, triton_time=0.12ms
batch=8, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.13ms, tilelang_time=0.07ms, triton_time=0.20ms
batch=16, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.26ms, tilelang_time=0.12ms, triton_time=0.21ms
batch=32, heads=32, heads_kv=8, max_cache_seqlen=16384, dim=128, dim_v=128, block_size=32, dense_time=0.81ms, tilelang_time=0.24ms, triton_time=0.23ms
batch=1, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.05ms, tilelang_time=0.04ms, triton_time=0.12ms
batch=2, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.08ms, tilelang_time=0.04ms, triton_time=0.12ms
batch=4, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.15ms, tilelang_time=0.07ms, triton_time=0.21ms
batch=8, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.28ms, tilelang_time=0.13ms, triton_time=0.39ms
batch=16, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=0.50ms, tilelang_time=0.24ms, triton_time=0.40ms
batch=32, heads=32, heads_kv=8, max_cache_seqlen=32768, dim=128, dim_v=128, block_size=32, dense_time=1.68ms, tilelang_time=0.46ms, triton_time=0.46ms
batch=1, heads=32, heads_kv=8, max_cache_seqlen=65536, dim=128, dim_v=128, block_size=32, dense_time=0.09ms, tilelang_time=0.04ms, triton_time=0.12ms
batch=2, heads=32, heads_kv=8, max_cache_seqlen=65536, dim=128, dim_v=128, block_size=32, dense_time=0.15ms, tilelang_time=0.07ms, triton_time=0.21ms
batch=4, heads=32, heads_kv=8, max_cache_seqlen=65536, dim=128, dim_v=128, block_size=32, dense_time=0.30ms, tilelang_time=0.12ms, triton_time=0.40ms
batch=8, heads=32, heads_kv=8, max_cache_seqlen=65536, dim=128, dim_v=128, block_size=32, dense_time=0.54ms, tilelang_time=0.26ms, triton_time=0.77ms
batch=16, heads=32, heads_kv=8, max_cache_seqlen=65536, dim=128, dim_v=128, block_size=32, dense_time=1.08ms, tilelang_time=0.48ms, triton_time=0.79ms
batch=32, heads=32, heads_kv=8, max_cache_seqlen=65536, dim=128, dim_v=128, block_size=32, dense_time=3.40ms, tilelang_time=0.89ms, triton_time=0.89ms
